t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5,mu_6,nu_6,tau_6,mu_7,nu_7,tau_7 
1.9687,4.407891942055031,2.5740376316842912,2.0658967078771764,0.8790976475638119,0.009179370771053462,-0.08835362232495518,0.4682901367744254,9.858145635096294,12.048787712865817,-3.0168123928104844,4.180417010743873,-10.68994975769347,0.2985760341120727,-4.357330354336705,-5.781755139920281,14.30688676311733,1.9216616154243602,0.6030416879476505,0.05831256728096968,5.365921843340641,5.365984708276135,5.3660510966970705,5.364005604474025,0.014713116027298143,0.00019961650353924072,0.063225733113885,0.9943044231498417,0.00024830442437695835,0.06803492488194039,0.994553460827829,0.00014864257883162528,0.04756561490395418,0.9950861936159656,6.447047429962347e-05,0.04921359312883701,0.9951125349078972,6.396998214622761e-05,0.04552555001678482,0.9958948188400886,8.020535309018037e-05,0.04493051386074815,0.9965427714453898,9.339538547447422e-05,0.04501334014141065,0.9985296074063444,3.206812812565201e-05,0.04492484476047342
1.99242,4.640552326161492,2.8585041742374533,1.9984481276261903,0.857678730657795,0.11161261522420915,-0.17532927385849995,0.4703066296483336,9.754792871155136,11.911648610353879,-2.677463256959517,4.225997451785271,-10.675646039555803,0.2999591665603606,-5.275677021413195,-11.454719951848961,11.060831957629219,-61.23386031576085,56.91331332534619,-0.002252774261670083,4.994656795291552,5.2058064480326935,5.393029489230415,5.18195643081417,0.014532588298426819,0.00018052772887132477,0.06067210515912204,0.994024613493098,0.0002798096567436846,0.0711875943545417,0.9944081669210011,0.0001452939068278649,0.04745719398124693,0.9950254021981597,6.079141780597722e-05,0.04874072463647627,0.9950521050836592,6.042982423813421e-05,0.04548322728858783,0.9958161698476069,7.86489924816922e-05,0.0449402743452936,0.9964491126221134,9.365882327646796e-05,0.045014535373888005,0.9984973839297149,3.2223476629575664e-05,0.04493469377715213
2.01614,4.870490753061051,3.1380613361479335,1.938196238792214,0.8239897429496201,0.20128787357410194,-0.25630756587118364,0.4634967159736835,9.629657580166414,11.639950834210454,-2.415108222718903,2.7735740191387266,-9.325702895729357,0.29990573236383533,-5.804612181205879,-15.118714792090223,7.373702126221518,-14.482756537709319,239.16673680683024,-3.075180335008177,4.572045740567328,4.676668719089986,5.420007267272563,5.419940420140149,0.014368297049783955,0.0001642912486428624,0.058453927722347476,0.9937077116340824,0.00031690185901552394,0.07427511082168556,0.9942665710234087,0.00014159589759238486,0.04733709243056938,0.9949679316718343,5.747052632543482e-05,0.04833666858894341,0.9949948973468691,5.7207736790084574e-05,0.04544565801900075,0.9957391486978165,7.702114979024379e-05,0.04494876495067938,0.9963555895337228,9.352308839067807e-05,0.04501570481493146,0.9984650275068307,3.235642288406684e-05,0.04494327122608916
2.03986,5.097277821655541,3.410036487217714,1.8831073679987376,0.7936648066769859,0.2607500782754971,-0.3051594799377886,0.4571449040621265,9.491976324959987,11.281345717330703,-2.2402092746817623,2.4300533778429863,-3.6528387147585577,0.22696465115243059,-6.043901817797338,-18.280206532781,6.494134313411282,-50.73967059674349,51.37594558382019,-9.996225368078548,5.106291920813577,5.446185857878752,5.4469848823619476,5.446962607811473,0.01421787458892958,0.00015042246085437505,0.05656929186257154,0.9933470431262902,0.00036066850779220436,0.07715638852643897,0.9941288563625708,0.00013771466083785199,0.04721279920554531,0.9949134532884462,5.447838338805434e-05,0.04799143319176442,0.9949406098995683,5.428744730075184e-05,0.045412540214832875,0.9956638098724563,7.53388253603353e-05,0.04495595342349585,0.9962625870790295,9.300245469329737e-05,0.04501682614487953,0.9984325588586473,3.246864818338769e-05,0.04495054729789967
2.06358,5.320707840552248,3.672547951360949,1.8318693753793733,0.7757224401034004,0.29385116147798285,-0.32391918571287337,0.4549513211726267,9.348619290477474,10.847752274341518,-2.0861730469653663,1.2265446302406602,-2.4342379788988913,-0.010138675140329078,-5.987018613034753,-19.7057741111075,5.416421383000673,-18.809660414092313,18.954767359470875,-3.6716571175075443,5.348231971120962,5.473079877202385,5.473962432531403,5.473950868445227,0.014079356445457197,0.00013851814347238536,0.05498946120446957,0.9929345514253686,0.000412491700921571,0.07973270969710808,0.993995076004542,0.00013378035802882055,0.04708949632887003,0.9948616700678465,5.17832205996261e-05,0.04769592603945982,0.9948889642605032,5.1645639065054555e-05,0.045383439792964504,0.9955901919234584,7.361794899783487e-05,0.044961961952162934,0.9961704585672325,9.212851179690248e-05,0.04501788114106215,0.9983999970140064,3.25618446409769e-05,0.044956646237473044
2.0873,5.540763888703108,3.924348329625274,1.7839647474761846,0.7637121316694039,0.31509404872620783,-0.3384979101601044,0.45041850823676566,9.206611484985183,10.38034538655389,-1.9576994002412984,0.7803929193298252,-1.984644434881001,-0.0972277596209106,-6.032099346623295,-20.625896966051897,4.452530903970526,-11.310878773887204,12.346285786923058,-2.1864855962778718,5.4224249982714525,5.4967728854052895,5.500939947150895,5.500932570290476,0.013951109604318002,0.00012824684113919423,0.05367404411473282,0.9924604080115061,0.0004741434138624627,0.0819537220713939,0.993865186777653,0.00012988922688890562,0.04697058337303678,0.9948123164220429,4.9353645803650086e-05,0.04744221223835135,0.9948397082522724,4.9256008230806984e-05,0.045357882219458495,0.9955183187756439,7.18731478145233e-05,0.04496696301285253,0.9960795149361388,9.094363109371024e-05,0.04501885643290881,0.9983673593756254,3.2637638380935454e-05,0.04496174214709823
2.11102,5.757443614395606,4.164791907838831,1.7388282409090725,0.7543741239254546,0.3311800861093892,-0.35113781728577576,0.4449042712869786,9.063534396689436,9.891113841811048,-1.8520885472563335,0.5121069531943573,-1.6917993538978813,-0.14908963634731953,-6.11264302510903,-21.271147428255546,3.591341738687832,-1.8193149187429627,18.265016709022873,-0.3254878829957911,5.461320508688812,5.472392367250967,5.527917432335217,5.527912161794965,0.013831775341814801,0.00011933426250320051,0.05258048428493246,0.9919124673412487,0.0005479406702573595,0.08381091554126266,0.9937390812927349,0.0001261054849180056,0.0468580280159416,0.9947651567789565,4.715964308649965e-05,0.04722349276876109,0.9947926158970075,4.709235526493551e-05,0.04533541070967676,0.995448201141259,7.011763438497633e-05,0.04497112885726091,0.995990015190425,8.949974571372461e-05,0.04501974479027012,0.9983346618304599,3.2697545165546836e-05,0.04496600846754538
2.13474,5.970706979085119,4.393441793997033,1.6959463444125829,0.746980477401764,0.3439310916045813,-0.3610864934577865,0.4397115650150272,8.91854686986538,9.38657741695126,-1.7669044861990362,0.46895410270086,-1.2585662026794635,-0.15680997646417355,-6.179922857459505,-21.867601871948725,2.9636388172589836,-2.580624116351609,9.633496850968804,-0.4802745642681703,5.514448490824338,5.530781840071412,5.5548948936700295,5.554890879608064,0.013720215659358707,0.00011155968245609476,0.05167010347115569,0.9912755725390129,0.0006368948022357428,0.0853238137226989,0.9936166072825575,0.000122474010177432,0.04675294647197497,0.9947199819687758,4.517481018071792e-05,0.04703416128902995,0.9947474848389565,4.513105805104482e-05,0.045315624455563024,0.9953798371559086,6.836398535032803e-05,0.04497460879937182,0.9959021638866513,8.785130377372667e-05,0.04502054437824648,0.9983019187258344,3.274310462545956e-05,0.04496959531966449
2.15846,6.180510249824566,4.6099511912112545,1.6549009911487458,0.741059024704815,0.3544405787892465,-0.36823578653867006,0.435435355799664,8.77196351347013,8.867893518682823,-1.6966090901241961,0.4077435417773128,-1.030066537746981,-0.16820174611008717,-6.212888392343549,-22.330588688591863,2.4317503186201535,-3.688707236489024,7.383489800192268,-0.7002880398392206,5.545202999875717,5.569015979091861,5.581872335672489,5.581869149810867,0.01361547049501812,0.00010474516434058807,0.05090983185721469,0.9905306148963989,0.0007449576426139685,0.08652832440891427,0.9934975808560357,0.0001190264265217999,0.04665590348151541,0.9946766057364669,4.337623230888839e-05,0.04686961605832571,0.9947041336538026,4.3351185153858464e-05,0.045298178236858486,0.9953132130211642,6.662413474446749e-05,0.04497752619063866,0.9958161133761424,8.605051050882454e-05,0.045021257641810905,0.9982691428125471,3.2775913287356335e-05,0.044972626505307374
2.18217,6.386827223427382,4.814023812047216,1.615368507584027,0.7362697279365515,0.3632518373989782,-0.3738693059835009,0.4314798696413008,8.624598238131856,8.338227903794998,-1.6389297093551785,0.320250040651914,-0.8549354330737422,-0.18481207825997464,-6.2387145406107205,-22.707722455704996,1.9851729893948986,-0.04742840991453197,7.630770092598575,0.010232329369672104,5.583447458379862,5.58310216434695,5.608849762028406,5.608847156862745,0.013516724299523063,9.874619549505533e-05,0.05027226493667465,0.9896532263088564,0.0008773885875425063,0.08746772300028885,0.9933817963362344,0.00011578451980136768,0.04656709061513338,0.9946348617180083,4.1744018458507453e-05,0.04672607064600709,0.9946623994018098,4.1734251992758634e-05,0.04528277616253854,0.9952483038655178,6.490915564632482e-05,0.04497998101437065,0.9957319687086619,8.414466748048386e-05,0.04502189016702307,0.9982363451863332,3.279762621381209e-05,0.04497520213141323
